operands_A,operands_B,sel,switching_power
2609831345,1596354998,0,0.0209175
2009603354,3540773002,0,0.0175152
683382422,4096493339,0,0.0187762
871990102,3683195854,0,0.0199103
2910372621,2727305201,0,0.0200372
747565191,3409138615,0,0.0195336
3597545269,4066686336,0,0.0183955
1963420439,2935151746,0,0.0192798
1158207005,785239473,1,0.0209735
1419597340,990277494,0,0.0189031
2650688425,3474956187,1,0.0273882
1587552032,4012121196,1,0.0199575
3728545621,3259161576,0,0.019026
3872370521,1147479070,0,1.81E-02
3710371950,271067425,0,0.0141088
1084034197,1265158457,1,0.0188233
2878364049,2176777552,1,0.0210916
2418776609,470229600,0,0.0123482
2875823349,961254401,0,0.0166308
3645922186,4106957837,1,0.0212096
2063989665,2232206672,1,0.0205479
1516263910,2904477308,0,0.0195336
385132668,1050845382,1,0.0208197
4105108377,2332966687,1,0.0259822
2047102331,1893669856,1,0.0223438
3363776867,2290393349,1,0.0189058
3648420296,3980957201,0,0.0178919
2400185697,3718869326,0,0.0204139
3630764293,4159604292,1,0.0203474
2994036641,1727851597,1,0.024612
3563511426,451877740,0,0.0194067
3038195978,2853453887,1,0.0190595
4133469393,3815549691,0,0.0231857
1039453549,1579346713,0,0.0201601
2711381955,1825266102,0,0.0194067
1451789992,3870259770,0,0.0191569
1291497282,3001869937,0,0.0199103
1209757869,1846923414,0,0.016508
2148316046,4025909925,1,0.0208554
3562169292,1300721987,0,0.0170116
2942081048,774293258,1,0.0201936
3424088352,2459013847,0,0.0160044
410114843,3786450859,0,0.0187762
3346809911,158246729,0,0.0180188
1454942087,543445312,0,0.0136052
1448152153,1610909670,0,0.0141129
3061925515,1833273034,1,0.0200755
2738961264,531070752,0,0.0183995
3165848569,2182934953,0,0.0178919
3752292731,589088036,0,0.0186452
3706794212,3679464467,0,0.0168847
3072402133,814301634,1,0.0181616
2225590405,416857435,1,0.0204655
2542201780,3016864708,1,0.0235959
1479816712,3411795595,0,0.0181497
2242161476,4242782260,1,0.0209735
2858748238,2079552075,1,0.0226156
4243699798,3810277260,0,0.0196565
3716544298,4017007264,0,0.0209175
2098098775,2659331252,1,0.0220719
60332797,143719101,0,0.0175152
318243936,3659497753,1,0.0175712
3972990842,3314945045,0,0.0177649
3881685220,84542044,0,0.0147393
1615409142,534672568,0,0.0200372
1289457791,220162352,0,0.0178919
898965416,313218018,0,0.0175152
2589631801,2156943258,0,0.0156236
2989628186,267239710,1,0.0210916
6947712,1809332100,1,0.0162009
2858574781,936205578,1,0.0229699
3322725103,1131686843,0,0.0187762
3268434798,3772354191,0,0.0187762
1913609192,1466525344,1,0.0219538
3600022137,1701807290,0,0.0207906
3572474624,3138767724,1,0.0222257
3766270938,3321554524,1,0.0252381
31132770,2107084812,0,0.0155008
3344633144,1195481643,0,0.0168847
1724051357,1911501202,0,0.020287
1983536724,757151101,1,0.0224618
1942314188,3580050820,0,0.0186493
953182434,660066763,0,0.0178959
2633245869,277137878,0,0.0156236
475568975,131680796,0,0.0168847
2727014436,1974148668,0,0.0173923
856975751,1643812601,0,0.01903
1479002231,2599989102,0,0.0206677
1495007215,203958378,0,0.0178878
1388932061,4196666177,0,0.0172614
3838929159,2520773278,0,0.0201641
2741055816,3607348212,1,0.0198394
829766131,2932123447,0,0.0204139
2603946326,2719522509,1,0.0207016
2373884300,4261266397,0,0.0236933
2421205251,456133003,1,0.0160471
1106105238,3950913794,0,0.0186493
920461008,2340372344,1,0.0250019
2719755645,3062228567,1,0.0228518
2480394990,3707157535,0,0.0233126
3254470960,4069780878,1,0.0227337
172850449,615241550,0,0.017769
3369345770,743878226,1,0.0200755
778101162,1731182957,1,0.0215996
2303146321,572962806,0,0.017769
3211849118,685189275,1,0.0244582
3028555590,2244173131,1,0.0199575
3296472762,3640575882,0,0.0205408
3377812082,3535590157,1,0.0217177
310995758,2442636652,0,0.017769
3285804114,665581787,0,0.0201641
1229043612,1314046497,1,0.0191776
737038753,2347740352,0,0.0187762
1173460272,3017621370,0,0.0209215
2894769535,441104483,0,0.0183955
2297107247,159920112,0,0.0162542
1904215907,1551033732,0,0.0155008
3239112850,1518952434,0,0.0168887
3837259214,934905764,1,0.0254742
2411557309,40474014,1,0.0239502
3560491629,1857088648,0,0.0175152
1092498746,1759078147,0,0.016508
876459889,583668446,0,0.0178919
457674605,225550988,1,0.0215639
